Concept,Notes
"Innate immunity provides immediate, non-specific defense via pattern recognition receptors (PRRs) detecting pathogen-associated molecular patterns (PAMPs).","innate immunity: immediate, non-specific; PRRs detect PAMPs → fast defense"
"Newton's second law states that force equals mass times acceleration (F = ma), and the net force determines the rate of change of momentum.",F = ma; net force → rate of momentum change; Newton 2nd law
The Heisenberg uncertainty principle: the product of uncertainties in position and momentum is at least ħ/2 (Δx·Δp ≥ ħ/2).,Heisenberg: Δx·Δp ≥ ħ/2; position & momentum cannot both be exact
Special relativity: time dilation means a moving clock runs slower by factor γ = 1/√(1−v²/c²) relative to a stationary observer.,time dilation: moving clock slows; γ = 1/√(1−v²/c²); SR consequence
"Maxwell's equations unify electricity and magnetism: Gauss's law, Faraday's law, Ampère's law, and the no-magnetic-monopole law.","Maxwell's eqs: Gauss, Faraday, Ampère, no-monopole; unify E & B"
"The photoelectric effect shows that light ejects electrons from metal only if photon energy exceeds the work function, proving light's particle nature.",photoelectric: photon E > work function → electron ejected; proves photon particle nature
"In quantum mechanics, wave functions collapse upon measurement to an eigenstate; probability is given by the square of the amplitude.",wave function: collapses on measurement → eigenstate; prob = |ψ|²
The Pauli exclusion principle: no two fermions in the same system can share identical quantum numbers; underlies atomic shell structure.,Pauli exclusion: no two fermions = same quantum numbers; drives shell structure
Entropy in thermodynamics measures disorder; in an isolated system it never decreases (second law: ΔS ≥ 0).,entropy = disorder; isolated system: ΔS ≥ 0; 2nd law of thermodynamics
Black body radiation: intensity peaks at a wavelength inversely proportional to temperature (Wien's displacement law: λmax = b/T).,Wien's law: λmax = b/T; hotter body → peak shifts shorter wavelength
"The Doppler effect: frequency increases when source and observer approach, decreases when they recede; used in redshift and radar.","Doppler: approach → freq ↑; recede → freq ↓; applications: redshift, radar"
Superconductivity occurs below critical temperature Tc where electrical resistance drops to zero and the Meissner effect expels magnetic fields.,superconductivity: T < Tc → resistance = 0; Meissner effect = B-field expelled
The strong nuclear force binds quarks via gluons (QCD); it is ~100× stronger than EM at nuclear scales but extremely short-ranged.,strong force: gluons bind quarks; ~100× EM; short-range; QCD
Quantum tunneling allows particles to penetrate energy barriers classically forbidden; enables nuclear fusion in stars and scanning tunneling microscopy.,quantum tunneling: particle crosses classically forbidden barrier; enables stellar fusion + STM
General relativity: gravity is spacetime curvature caused by mass-energy; light bends around massive objects (gravitational lensing).,GR: gravity = spacetime curvature; mass-energy curves spacetime; light bends → lensing
"The Bernoulli principle: in fluid flow, increased velocity corresponds to decreased pressure, explaining lift on aircraft wings.",Bernoulli: velocity ↑ → pressure ↓; explains wing lift
"Le Chatelier's principle: a system at equilibrium shifts to counteract any imposed change in concentration, temperature, or pressure.",Le Chatelier: equilibrium shifts to oppose perturbation (conc/T/P change)
Electronegativity increases across a period and decreases down a group in the periodic table; fluorine is the most electronegative element.,"electronegativity: ↑ across period, ↓ down group; F = highest"
"The SN2 reaction proceeds via a backside attack of the nucleophile, inverts stereochemistry (Walden inversion), and is favored by primary substrates.","SN2: backside attack → Walden inversion; favored: primary substrate, strong nucleophile"
Acid-base equilibria: pKa measures acid strength; lower pKa = stronger acid; Henderson-Hasselbalch: pH = pKa + log([A⁻]/[HA]).,pKa: lower = stronger acid; Henderson-Hasselbalch: pH = pKa + log([A⁻]/[HA])
Hybridization: sp³ → tetrahedral (109.5°); sp² → trigonal planar (120°); sp → linear (180°).,hybridization: sp³ = tetrahedral 109.5°; sp² = planar 120°; sp = linear 180°
"Oxidation states: in a compound, oxygen is usually −2 and hydrogen is +1; the sum of oxidation states equals the overall charge.","oxidation states: O = −2, H = +1 (usual); sum = overall charge"
Solubility product Ksp = [cation]^m[anion]^n for slightly soluble salts; precipitation occurs when the ionic product exceeds Ksp.,Ksp = [cation]^m[anion]^n; ionic product > Ksp → precipitate forms
"Colligative properties depend on solute particle count, not identity: boiling point elevation, freezing point depression, osmotic pressure.","colligative props: depend on solute count; BP elevation, FP depression, osmotic pressure"
The Gibbs free energy ΔG = ΔH − TΔS determines spontaneity: ΔG < 0 = spontaneous; ΔG = 0 = equilibrium.,ΔG = ΔH − TΔS; ΔG < 0 = spontaneous; ΔG = 0 = equilibrium
Catalysts lower activation energy without being consumed; enzymes are biological catalysts that also provide substrate specificity via active sites.,"catalysts: lower Ea, not consumed; enzymes = bio catalysts + substrate specificity via active site"
The Treaty of Westphalia (1648) ended the Thirty Years' War and established the principle of state sovereignty and non-interference in internal affairs.,Westphalia 1648: ended 30 Yrs War; established state sovereignty + non-interference norm
"The Industrial Revolution began in Britain (~1760) due to coal availability, canal infrastructure, patent system, and enclosure acts displacing agricultural labor.","Industrial Rev: Britain ~1760; drivers = coal, canals, patent system, enclosure acts → labor displacement"
"The French Revolution (1789) abolished feudalism, declared the Rights of Man, and eventually produced the Reign of Terror under Robespierre.",French Rev 1789: abolished feudalism; Rights of Man declared; Terror under Robespierre
"The Congress of Vienna (1815) redrawn European borders post-Napoleon, creating the Concert of Europe and restoring balance-of-power diplomacy.",Congress of Vienna 1815: post-Napoleon borders; Concert of Europe; balance-of-power restored
"World War I was triggered by Archduke Franz Ferdinand's assassination (1914) but structural causes include alliance systems, militarism, imperialism, and nationalism.","WWI trigger: Franz Ferdinand assassinated 1914; structural: alliances, militarism, imperialism, nationalism (MAIN)"
The Bolshevik Revolution (October 1917) overthrew the Provisional Government; Lenin's Bolsheviks seized power using Soviets as organizational base.,Bolshevik Rev Oct 1917: overthrew Provisional Govt; Lenin via Soviets seized power
"The Great Depression (1929) was worsened by bank failures, deflationary spirals, Smoot-Hawley tariff, and contractionary monetary policy by the Fed.",Great Depression 1929: bank failures + deflation + Smoot-Hawley tariff + Fed tightening → worsened
"The Marshall Plan (1948) provided ~$13B in US aid to rebuild Western Europe, contain communism, and open export markets for American goods.",Marshall Plan 1948: ~$13B US aid; rebuild W. Europe; contain communism; open export markets
"Decolonization (1945–1975) occurred through negotiated independence (India 1947), armed struggle (Algeria 1962), and Cold War superpower pressure.","decolonization 1945–75: negotiated (India 1947), armed (Algeria 1962), Cold War pressure"
The Cuban Missile Crisis (1962): Soviet missiles in Cuba brought US-USSR to brink; resolved via US blockade + secret deal (missiles for Turkey withdrawal).,Cuban Missile Crisis 1962: Soviet missiles in Cuba; resolved: US blockade + secret Turkey missile swap
"The fall of the Berlin Wall (1989) symbolized Cold War end; driven by East German protests, Gorbachev's non-intervention, and economic collapse of USSR.",Berlin Wall fell 1989: E. German protests + Gorbachev non-intervention + Soviet econ collapse
"The Silk Road was not a single road but a network of trade routes connecting China to the Mediterranean, transmitting goods, religion, and disease.",Silk Road: trade route network China ↔ Mediterranean; transmitted goods + religion + disease
"The Black Death (1347–51) killed ~30–60% of Europe's population, disrupting feudal labor markets and accelerating peasant bargaining power.",Black Death 1347–51: ~30–60% European dead; disrupted feudal labor; peasant bargaining power ↑
"The Meiji Restoration (1868) transformed Japan: abolished feudal domains, adopted Western institutions, industrialized rapidly, and built a conscript army.",Meiji 1868: abolished feudal domains; adopted Western institutions; industrialization; conscript army
"The Rwandan Genocide (1994) killed ~800,000 Tutsi in 100 days; international community failed to intervene despite UN presence.",Rwanda genocide 1994: ~800K Tutsi killed in 100 days; UN present but no intervention
"Comparative advantage: a country should specialize in goods where its opportunity cost is lowest, even if another country is absolutely more efficient.",comparative advantage: specialize where opp. cost lowest; trade even w/ absolute disadvantage
The IS-LM model represents goods market equilibrium (IS curve) and money market equilibrium (LM curve); their intersection gives output-interest rate combo.,"IS-LM: IS = goods market; LM = money market; intersection = equilibrium (Y, r)"
Moral hazard occurs when a party insulated from risk behaves differently than if they bore full consequences; exacerbated by information asymmetry.,moral hazard: insulated from risk → riskier behavior; worse w/ info asymmetry
"The Phillips curve posits an inverse relationship between inflation and unemployment; stagflation (1970s) challenged this, leading to the expectations-augmented version.",Phillips curve: inflation ↑ ↔ unemployment ↓; stagflation 1970s → expectations-augmented version
"Quantitative easing: central bank purchases long-term assets to inject liquidity when policy rates hit zero lower bound, expanding the money supply.",QE: central bank buys long-term assets; injects liquidity at ZLB; expands money supply
"The Laffer curve illustrates that beyond some peak tax rate, increasing taxes reduces revenue by suppressing taxable activity.",Laffer curve: tax rate beyond peak → revenue ↓; taxable activity suppressed
Game theory's prisoner's dilemma: individually rational defection leads to collectively suboptimal outcome; resolved by repeated games enabling cooperation.,prisoner's dilemma: individual rationality → collective bad outcome; repeated game → cooperation possible
"Gini coefficient measures income inequality: 0 = perfect equality, 1 = perfect inequality; used to compare distributions across countries.","Gini: 0 = perfect equality, 1 = perfect inequality; measures income distribution"
Keynesian economics: aggregate demand drives output; government spending (fiscal stimulus) can fill gap during recessions via the multiplier effect.,Keynesian: AD drives output; fiscal stimulus fills demand gap; multiplier effect
The efficient market hypothesis (EMH) holds that asset prices reflect all available information; weak/semi-strong/strong forms differ by information set.,EMH: prices reflect all info; weak=past prices; semi-strong=public; strong=all info
"Creative destruction (Schumpeter): innovation continuously obsoletes existing industries, reallocating capital and labor to more productive uses.",creative destruction (Schumpeter): innovation destroys old industries; reallocates capital/labor
"Monopsony: single buyer dominates labor market, setting wages below competitive level and employing fewer workers than efficient.",monopsony: single buyer labor market; wage < competitive; employment < efficient
The tragedy of the commons: shared resources are over-exploited because individual incentive to use exceeds the collective cost; solved by privatization or regulation.,tragedy of commons: shared resource over-exploited; indiv incentive > collective cost; fix: privatize or regulate
"Stagflation: simultaneous high inflation and high unemployment; contradicts traditional Phillips curve; caused by supply shocks (e.g., 1973 oil crisis).","stagflation: high inflation + high unemployment; contradicts Phillips curve; supply shock cause (e.g., OPEC 1973)"
"Stare decisis binds courts to follow precedents of higher courts within the same jurisdiction, ensuring predictability and consistency in law.",stare decisis: follow higher court precedent; same jurisdiction; ensures predictability
Habeas corpus is the right to challenge unlawful detention; the writ requires authorities to bring the detainee before a court.,habeas corpus: right to challenge detention; writ → bring detainee before court
Mens rea (guilty mind) is required for most serious crimes alongside actus reus (guilty act); strict liability offenses require only actus reus.,mens rea = guilty mind; actus reus = guilty act; both needed for serious crimes; strict liability = actus reus only
Promissory estoppel: a party who reasonably relies on another's promise to their detriment may enforce it even without consideration.,promissory estoppel: reasonable reliance + detriment → promise enforceable w/o consideration
"The rule against perpetuities: a future interest is void unless it must vest, if at all, within 21 years after a life in being at creation.",rule against perpetuities: future interest void if may not vest within 21 yrs + life in being
Contributory vs. comparative negligence: contributory bars all recovery if plaintiff is any% at fault; comparative reduces recovery proportionally.,contributory negligence: any plaintiff fault → full bar; comparative: reduces recovery proportionally
"Fourth Amendment protection: search/seizure requires a warrant based on probable cause; exceptions include plain view, exigent circumstances, search incident to arrest.","4th Amend: warrant + probable cause; exceptions: plain view, exigent circumstances, search incident to arrest"
The dormant Commerce Clause prohibits states from passing laws that discriminate against or unduly burden interstate commerce even without congressional action.,dormant Commerce Clause: states cannot discriminate vs. interstate commerce; no Congressional action needed
Consideration in contract law must be bargained-for exchange of value; past consideration is not valid; illusory promises lack consideration.,consideration: bargained-for exchange; past consideration invalid; illusory promise = no consideration
"Defamation requires false statement of fact, published to third party, with fault (negligence for private persons, actual malice for public figures), causing harm.",defamation: false fact + published + fault (negligence/actual malice) + harm; public figure → actual malice standard
Big-O notation describes asymptotic upper bound on algorithm complexity; O(n log n) sorting algorithms like mergesort are optimal for comparison-based sorting.,Big-O = asymptotic upper bound; mergesort O(n log n) = optimal comparison sort
"Dynamic programming solves problems by breaking them into overlapping subproblems, storing results (memoization) to avoid recomputation.",DP: overlapping subproblems + memoization → avoid recomputation; optimal substructure required
Dijkstra's algorithm finds shortest paths in weighted graphs with non-negative edges; uses a priority queue; O((V+E) log V).,Dijkstra: shortest path; non-negative edges; priority queue; O((V+E) log V)
"The CAP theorem: a distributed system cannot simultaneously guarantee consistency, availability, and partition tolerance; must sacrifice one.","CAP theorem: distributed system can't have all 3: consistency, availability, partition tolerance"
"TCP vs UDP: TCP provides reliable, ordered, connection-oriented delivery with handshake; UDP is connectionless, faster, no guarantee of delivery.","TCP: reliable, ordered, connection (handshake); UDP: connectionless, faster, no delivery guarantee"
Gradient descent minimizes a loss function by iteratively moving parameters in the direction of the negative gradient; learning rate controls step size.,gradient descent: params -= lr × ∇loss; iterative; lr = step size control
Hash tables achieve average O(1) insert/lookup using a hash function; collisions handled by chaining or open addressing.,hash table: avg O(1) insert/lookup; hash function; collisions → chaining or open addressing
"Public key cryptography: RSA uses a public key (e, n) to encrypt and private key (d, n) to decrypt; security relies on difficulty of factoring n = p×q.","RSA: public key (e,n) encrypt; private key (d,n) decrypt; security = hardness of factoring n=pq"
"The attention mechanism in transformers computes Q, K, V matrices; attention score = softmax(QKᵀ/√d_k)·V, enabling long-range dependency capture.","attention: Q, K, V matrices; score = softmax(QKᵀ/√d_k)·V; captures long-range dependencies"
Convolutional neural networks use shared weight filters to detect local features; pooling layers downsample; fully connected layers classify.,CNN: shared filters → local features; pooling = downsample; FC layers → classify
Backpropagation computes gradients of the loss with respect to each weight using the chain rule; enables training of deep networks via gradient descent.,backpropagation: chain rule → ∂loss/∂w for each layer; enables deep net training
"Docker containers package code and dependencies into isolated environments sharing the host OS kernel; lighter than VMs, faster to spin up.",Docker: code + deps in isolated container; shares host kernel; lighter/faster than VM
"REST APIs use HTTP methods (GET, POST, PUT, DELETE) as verbs on resources identified by URIs; stateless, cacheable, uniform interface.","REST: HTTP verbs (GET/POST/PUT/DELETE) on URI resources; stateless, cacheable, uniform"
B-trees maintain sorted data across nodes with branching factor t; insert/delete/search all O(log n); used in database indexing.,"B-tree: sorted, branching factor t; insert/delete/search O(log n); DB indexing"
"Deadlock requires four conditions: mutual exclusion, hold-and-wait, no preemption, circular wait; breaking any one prevents deadlock.",deadlock: 4 conditions = mutual exclusion + hold-and-wait + no preemption + circular wait; break any → prevent
Long-term potentiation (LTP) is the persistent strengthening of synapses following high-frequency stimulation; NMDA receptor activation is required.,LTP: persistent synapse strengthening; high-freq stim; requires NMDA receptor activation
Working memory holds information for active manipulation; capacity ~4 items; relies on prefrontal cortex and dorsal attention networks.,working memory: active info manipulation; ~4 items; PFC + dorsal attention network
The HPA axis responds to stress: hypothalamus → CRH → pituitary → ACTH → adrenal cortex → cortisol; cortisol provides negative feedback.,HPA axis: hypothalamus (CRH) → pituitary (ACTH) → adrenal (cortisol); cortisol = negative feedback
Classical conditioning (Pavlov): neutral stimulus paired with unconditioned stimulus produces conditioned response; extinction = CS without US.,classical conditioning: CS + US → CR; extinction = CS w/o US; Pavlov
"Cognitive dissonance: holding two conflicting beliefs causes psychological discomfort, motivating attitude change to restore consistency.",cognitive dissonance: conflicting beliefs → discomfort → attitude change for consistency
The bystander effect: presence of others reduces likelihood of individual helping in an emergency; diffusion of responsibility + social comparison.,bystander effect: more observers → less likely individual helps; diffusion of responsibility + social comparison
"Mirror neurons fire both when performing and observing the same action; proposed role in imitation, empathy, and language acquisition.","mirror neurons: fire on doing + observing same action; role in imitation, empathy, language"
Neuroplasticity: the brain changes structurally and functionally in response to experience; Hebbian rule: 'neurons that fire together wire together.',neuroplasticity: structure/function changes w/ experience; Hebb rule: fire together → wire together
"The amygdala processes emotional stimuli, especially fear; projects to hypothalamus and brainstem to trigger fear response; modulates memory consolidation.",amygdala: processes fear/emotion; projects to hypothalamus + brainstem (fear response); modulates memory consolidation
"Schizophrenia involves positive symptoms (hallucinations, delusions) and negative symptoms (flat affect, anhedonia); dopamine hypothesis = excess D2 activity.","schizophrenia: positive (hallucinations, delusions) + negative (flat affect, anhedonia); dopamine hypoth = excess D2"
Bayes' theorem: P(A|B) = P(B|A)·P(A) / P(B); posterior equals likelihood times prior divided by evidence; foundation of Bayesian inference.,Bayes: P(A|B) = P(B|A)·P(A)/P(B); posterior = likelihood × prior / evidence
"The fundamental theorem of calculus links differentiation and integration: d/dx∫f = f(x), and ∫ₐᵇf'dx = f(b)−f(a).",FTC: d/dx∫f = f(x); ∫ₐᵇf'dx = f(b)−f(a); links deriv ↔ integral
"Euler's identity: e^(iπ) + 1 = 0, combining five fundamental constants; derived from Euler's formula e^(iθ) = cos θ + i sin θ.",Euler's identity: e^(iπ)+1=0; from e^(iθ)=cosθ+isinθ; 5 fundamental constants
"The central limit theorem: sum/average of i.i.d. random variables approaches a normal distribution as n → ∞, regardless of original distribution.",CLT: avg of iid RVs → normal as n→∞; regardless of source distribution
Eigenvalues and eigenvectors: Av = λv; eigenvector v unchanged in direction by matrix A; eigenvalue λ is the scalar stretch factor.,eigenvalue: Av = λv; v = direction unchanged; λ = stretch factor
Cantor's diagonal argument proves the real numbers are uncountably infinite: any enumeration of reals misses at least one real number.,Cantor diagonal: any enumeration of reals misses a real → reals uncountable
Convexity: a function is convex if f(λx+(1−λ)y) ≤ λf(x)+(1−λ)f(y); local minima = global minima for convex functions.,convex: f(λx+(1−λ)y) ≤ λf(x)+(1−λ)f(y); local min = global min
The P vs NP problem: P = problems solvable in polynomial time; NP = verifiable in poly time; unsolved whether P = NP.,P vs NP: P = poly-time solvable; NP = poly-time verifiable; P=NP? unsolved
Fourier transform decomposes a signal into component frequencies; F(ω) = ∫f(t)e^(−iωt)dt; enables frequency-domain analysis.,Fourier transform: signal → frequency components; F(ω)=∫f(t)e^(−iωt)dt; freq-domain analysis
"Proof by induction: base case + inductive step (if true for k, then true for k+1) → true for all natural numbers.",induction: base case + k→k+1 → true ∀n∈ℕ
Federalism divides sovereignty between central and subnational governments; dual federalism (layer cake) vs. cooperative federalism (marble cake).,federalism: divided sovereignty; dual=layer cake; cooperative=marble cake
"The social contract theory (Hobbes, Locke, Rousseau): individuals surrender some freedoms to a sovereign in exchange for order and protection of rights.",social contract: surrender some freedom → sovereign provides order + rights protection; Hobbes/Locke/Rousseau
Electoral systems: first-past-the-post tends toward two-party systems (Duverger's law); proportional representation produces multiparty systems.,FPTP → two-party (Duverger's law); PR → multiparty system
The veto player theory: political change requires agreement from all actors with veto power; more veto players = more policy stability (status quo bias).,veto player theory: change requires all veto players' agreement; more veto players → policy stability
"Realism in IR: states are primary actors, pursue national interest/power, and operate in anarchic system; security dilemma underlies arms races.",IR realism: states primary; power/national interest; anarchic system; security dilemma → arms races
"Securitization theory: an issue becomes a security issue when framed as existential threat requiring emergency measures, legitimized by an audience.",securitization: issue = existential threat framing → emergency measures; legitimized by audience acceptance
Renin-angiotensin-aldosterone system: renin cleaves angiotensinogen → angiotensin I → ACE converts to angiotensin II → vasoconstriction + aldosterone release.,RAAS: renin → angiotensinogen → Ang I → ACE → Ang II → vasoconstriction + aldosterone
"Beta-blockers competitively antagonize β-adrenergic receptors; reduce HR, contractility, and renin; used in hypertension, heart failure, angina.","beta-blockers: β-receptor antagonist; ↓ HR, contractility, renin; indications: HTN, HF, angina"
"Sepsis: life-threatening organ dysfunction from dysregulated host response to infection; qSOFA criteria: altered mentation, RR ≥ 22, SBP ≤ 100.",sepsis: organ dysfunction from dysregulated infection response; qSOFA: altered mentation + RR≥22 + SBP≤100
"Statins inhibit HMG-CoA reductase, blocking cholesterol synthesis; liver compensates by upregulating LDL receptors → plasma LDL ↓.",statins: inhibit HMG-CoA reductase → ↓ cholesterol synthesis; liver ↑ LDL receptors → plasma LDL ↓
"The action potential of cardiac muscle has a plateau phase (phase 2) due to slow L-type Ca²⁺ channels, extending refractory period to prevent tetanus.",cardiac AP: plateau (phase 2) = L-type Ca²⁺ channels; extended refractory period → prevents tetanus
"Pharmacokinetics — ADME: absorption (route, bioavailability), distribution (Vd), metabolism (CYP enzymes, first-pass), excretion (renal clearance).","ADME: absorption (bioavailability), distribution (Vd), metabolism (CYP/first-pass), excretion (renal Cl)"
"The carbon cycle: CO₂ is fixed by photosynthesis, released by respiration and combustion; anthropogenic emissions disrupt natural balance by ~50% excess.",carbon cycle: photosynthesis fixes CO₂; respiration + combustion release; anthropogenic = ~50% excess CO₂
"Ocean acidification: dissolved CO₂ forms carbonic acid, lowering pH; affects calcification in corals and shellfish (aragonite undersaturation).",ocean acidification: CO₂ → H₂CO₃ → pH ↓; impairs coral/shellfish calcification (aragonite undersaturation)
The ozone layer absorbs UV-B and UV-C radiation; CFCs catalytically destroy ozone via Cl radicals; Montreal Protocol (1987) phased out CFCs.,ozone: absorbs UV-B/C; CFCs → Cl radicals → catalytic destruction; Montreal Protocol 1987 banned CFCs
"Eutrophication: excess nutrients (N, P) → algal bloom → decomposition → O₂ depletion → dead zone; driven by agricultural runoff.",eutrophication: N/P excess → algal bloom → decomposition → hypoxia → dead zone; ag runoff driver
"The precautionary principle: when an action raises threats of harm to the environment, precautionary measures should be taken even under scientific uncertainty.",precautionary principle: potential environmental harm → act even w/ scientific uncertainty
"Émile Durkheim's anomie: rapid social change dissolves norms, leaving individuals without moral guidance; linked to suicide rates in modern societies.",Durkheim anomie: rapid change → norm dissolution → moral vacuum; linked to ↑ suicide rates
"Max Weber's ideal types: bureaucracy characterized by hierarchy, fixed rules, impersonality, meritocracy, written records; most rational-legal authority form.",Weber bureaucracy: hierarchy + fixed rules + impersonality + meritocracy + written records; rational-legal authority
Social capital (Putnam): networks of trust and reciprocity enable collective action; bonding capital (intra-group) vs. bridging capital (inter-group).,social capital (Putnam): trust networks → collective action; bonding = intra-group; bridging = inter-group
"The Matthew effect: accumulated advantage — those who have resources gain more, widening inequality; observed in science, wealth, and education.",Matthew effect: accumulated advantage; resource-rich gain more → widens inequality; science/wealth/education
"Intersectionality (Crenshaw): overlapping social identities (race, gender, class) create compounding systems of discrimination not reducible to single axes.",intersectionality (Crenshaw): overlapping identities (race+gender+class) → compounding discrimination; not reducible
Goffman's dramaturgical theory: social life is a performance; front stage = behavior for audience; back stage = authentic self; impression management.,Goffman dramaturgy: life = performance; front stage = audience-facing; back stage = authentic; impression management
"The complement system's membrane attack complex (MAC) forms pores in pathogen membranes, causing osmotic lysis; regulated by CD59 on host cells.",MAC: pore-forming complex on pathogen membrane → osmotic lysis; CD59 protects host cells
MHC class I presents endogenous peptides to CD8⁺ cytotoxic T cells; MHC class II presents exogenous peptides to CD4⁺ helper T cells.,MHC I: endogenous peptides → CD8⁺ T cells; MHC II: exogenous peptides → CD4⁺ T cells
The electron transport chain: Complex I/II → ubiquinone → Complex III → cytochrome c → Complex IV (cytochrome oxidase) → H₂O; pumps H⁺ for ATP synthase.,ETC: CI/II → ubiquinone → CIII → cyt c → CIV → H₂O; H⁺ pumped → ATP synthase
Epigenetics: heritable gene expression changes without DNA sequence alteration; mechanisms include DNA methylation (gene silencing) and histone acetylation (activation).,epigenetics: heritable expression change w/o DNA mutation; methylation = silencing; histone acetylation = activation
"The Krebs cycle produces 2 ATP, 6 NADH, 2 FADH₂ per glucose (via 2 turns); occurs in the mitochondrial matrix; generates CO₂.",Krebs: 2 turns/glucose → 2 ATP + 6 NADH + 2 FADH₂ + CO₂; mitochondrial matrix
"The Standard Model: quarks and leptons are fundamental fermions; bosons (photon, W±, Z, gluons, Higgs) mediate forces; gravity not included.","Standard Model: quarks + leptons = fermions; bosons = force carriers (γ, W±, Z, gluons, Higgs); no gravity"
Hawking radiation: black holes emit thermal radiation due to quantum effects near the event horizon; temperature inversely proportional to black hole mass.,Hawking radiation: quantum effects near horizon → thermal emission; T ∝ 1/M_BH
The Schrödinger equation (time-dependent): iħ ∂ψ/∂t = Ĥψ; governs quantum state evolution; Hamiltonian operator Ĥ contains kinetic + potential energy.,Schrödinger: iħ∂ψ/∂t = Ĥψ; governs QM state evolution; Ĥ = KE + PE
Spontaneous symmetry breaking: system's ground state has lower symmetry than the laws governing it; Higgs mechanism gives W/Z bosons mass.,spontaneous symmetry breaking: ground state < law symmetry; Higgs → W/Z mass
The Casimir effect: two uncharged parallel plates in vacuum attract due to quantum vacuum fluctuations suppressing modes between plates.,Casimir effect: uncharged plates attract; quantum vacuum fluctuations suppressed between plates → net force
"The Mundell-Fleming trilemma: a country cannot simultaneously maintain fixed exchange rate, free capital movement, and independent monetary policy.",Mundell-Fleming trilemma: fixed FX + free capital + independent monetary policy → impossible trinity
Adverse selection: uninformed party transacts with informed party who has incentive to select unfavorably; worsened by information asymmetry; Akerlof's lemons.,adverse selection: informed party exploits uninformed; Akerlof lemons market; info asymmetry
"The Solow growth model attributes long-run growth to technological progress (exogenous); capital accumulation causes transitional growth, not steady-state growth.","Solow model: long-run growth = tech progress (exogenous); capital → transitional only, not steady-state"
Prospect theory (Kahneman-Tversky): losses loom larger than equivalent gains (loss aversion ~2×); reference-point framing affects choices.,prospect theory: loss aversion ~2×; gains/losses relative to reference point; Kahneman-Tversky
